議題,領域,說明,GRI_ID,GRI_NAME,SASB,SDGs,TCFD
經濟績效,經濟,組織所產生及分配的直接經濟價值,201,經濟績效 2016,,"8, 9, 17",
市場地位,經濟,雇用當地居民為高階管理階層的比例,202,市場地位 2016,,8,
間接經濟衝擊,經濟,基礎設施投資及間接經濟衝擊,203,間接經濟衝擊 2016,,"9, 11",
採購實務,經濟,來自當地供應商的採購支出比例,204,採購實務 2016,,12,
反貪腐,經濟,貪腐風險評估與應對政策,205,反貪腐 2016,,16,
反競爭行為,經濟,與競爭行為相關的政策,206,反競爭行為 2016,,16,
稅務,經濟,稅務方針,207,稅務 2019,,17,
物料,環境,所用物料的重量與回收物料比例,301,物料 2016,,12,"MT1, MT3"
能源,環境,能源消耗量與減少策略,302,能源 2016,,"7, 12, 13","MT1, MT2, MT3"
水與放流水,環境,水資源使用與放流水管理,303,水與放流水 2018,,"6, 12, 15",MT1
生物多樣性,環境,生物多樣性保護與損失,304,生物多樣性 2016,,"6, 14, 15",MT1
排放,環境,排放與減少目標,305,排放 2016,,"3, 12, 13","MT2, MT3"
廢棄物,環境,廢棄物管理與回收,306,廢棄物 2020,,12,MT1
供應商環境評估,環境,供應商的環境影響評估,308,供應商環境評估 2016,,12,MT1
勞雇關係,社會,勞雇關係政策與報告,401,勞雇關係 2016,,8,
勞/資關係,社會,勞資關係預告期與變化,402,勞/資關係 2016,,8,
職業安全衛生,社會,職業安全衛生管理與報告,403,職業安全衛生 2018,,"3, 8",
訓練與教育,社會,員工訓練與發展,404,訓練與教育 2016,,"4, 8",
員工多元化與平等機會,社會,員工多元化與平等機會,405,員工多元化與平等機會 2016,,"5, 10",
不歧視,社會,防止歧視政策,406,不歧視 2016,,"5, 10, 16",
結社自由與團體協商,社會,結社自由與團體協商,407,結社自由與團體協商 2016,,8,
童工,社會,童工與勞動權益保護,408,童工 2016,,"8, 16",
強迫或強制勞動,社會,強迫勞動防範,409,強迫或強制勞動 2016,,"8, 16",
